geo_join_id,geo_place_name,geo_type_name,start_date,time_period,pollutant_name,measure_info,data_value,year_from_period,BORO_NM_IMPUTED,AQI_composite
202,Hunts Point and Longwood (CD2),CD,2005-01-01,2005,Annual vehicle miles traveled (trucks),per square mile,2.680357,2005,,
403,Jackson Heights (CD3),CD,2005-01-01,2005,Annual vehicle miles traveled (trucks),per square mile,1.658292,2005,,
403,Jackson Heights (CD3),CD,2005-01-01,2005,Annual vehicle miles traveled (cars),per square mile,62.32238,2005,,
403,Jackson Heights (CD3),CD,2005-01-01,2005,Annual vehicle miles traveled,per square mile,64.205163,2005,,
408,Jamaica,UHF42,2005-01-01,2005,Outdoor Air Toxics - Benzene,Âµg/m3,1.8,2005,,
408,Jamaica,UHF42,2005-01-01,2005,Annual vehicle miles traveled (cars),per square mile,39.099151,2005,,
408,Jamaica,UHF42,2005-01-01,2005,Annual vehicle miles traveled (trucks),per square mile,1.565021,2005,,
408,Jamaica,UHF42,2005-01-01,2005,Outdoor Air Toxics - Formaldehyde,Âµg/m3,2.4,2005,,
408,Jamaica,UHF42,2005-01-01,2005,Annual vehicle miles traveled,per square mile,41.031522,2005,,
412,Jamaica and Hollis (CD12),CD,2005-01-01,2005,Annual vehicle miles traveled (trucks),per square mile,2.128123,2005,,
412,Jamaica and Hollis (CD12),CD,2005-01-01,2005,Annual vehicle miles traveled (cars),per square mile,38.900868,2005,,
412,Jamaica and Hollis (CD12),CD,2005-01-01,2005,Annual vehicle miles traveled,per square mile,41.61838,2005,,
409,Kew Gardens and Woodhaven (CD9),CD,2005-01-01,2005,Annual vehicle miles traveled,per square mile,47.796028,2005,,
409,Kew Gardens and Woodhaven (CD9),CD,2005-01-01,2005,Annual vehicle miles traveled (cars),per square mile,43.754236,2005,,
409,Kew Gardens and Woodhaven (CD9),CD,2005-01-01,2005,Annual vehicle miles traveled (trucks),per square mile,3.756119,2005,,
101,Kingsbridge - Riverdale,UHF42,2005-01-01,2005,Outdoor Air Toxics - Benzene,Âµg/m3,2.9,2005,,
101,Kingsbridge - Riverdale,UHF42,2005-01-01,2005,Outdoor Air Toxics - Formaldehyde,Âµg/m3,3.2,2005,,
101,Kingsbridge - Riverdale,UHF42,2005-01-01,2005,Annual vehicle miles traveled,per square mile,45.17286,2005,,
